,id,time_on_site,positive_rating,neutral_rating,negative_rating,listing,listing_gmv,sale,buyers,gmv,listing_per_day,clusters
159719,219337505,18,8,0,0,65,1915.0,8,8,371.0,3.61111111111,1.0
159896,219474075,41,26,1,0,194,2106.0,28,27,310.0,4.73170731707,1.0
160333,219805629,43,70,0,0,129,2825.0,73,70,1160.0,3.0,1.0
160340,219808537,61,21,1,0,24,1502.0,24,23,1502.0,0.393442622951,1.0
160377,219838016,72,56,2,0,101,2319.0,64,60,1268.0,1.40277777778,1.0
161055,220365017,67,14,1,1,20,1748.0,18,16,1569.0,0.298507462687,1.0
161183,220467920,2,0,0,0,15,218.0,0,0,0.0,7.5,1.0
161575,220781881,57,19,3,1,123,2485.0,23,22,283.0,2.15789473684,1.0
161741,220905464,2,0,0,0,16,160.0,0,0,0.0,8.0,1.0
161899,221017372,17,8,0,0,127,2001.0,8,8,76.0,7.47058823529,1.0
162105,221172500,54,29,1,0,208,3600.0,31,31,460.0,3.85185185185,1.0
162856,221760353,55,5,0,0,92,4137.0,6,6,346.0,1.67272727273,1.0
162877,221779260,26,12,0,0,116,2817.0,12,12,342.0,4.46153846154,1.0
164124,222725750,39,21,6,0,68,7136.0,27,26,108.0,1.74358974359,1.0
164697,223133494,15,13,1,0,83,400.0,14,14,143.0,5.53333333333,1.0
164823,223220510,3,1,0,0,17,540.0,1,1,5.0,5.66666666667,1.0
165123,223444925,67,19,2,1,98,1992.0,23,21,390.0,1.46268656716,1.0
165303,223573965,56,11,0,0,73,3555.0,12,11,697.0,1.30357142857,1.0
165384,223630817,61,39,4,0,195,4624.0,45,42,1364.0,3.19672131148,1.0
165600,223774463,14,0,0,0,7,4440.0,0,0,0.0,0.5,1.0
165691,223823718,21,0,0,0,64,3557.0,0,0,0.0,3.04761904762,1.0
166794,224620433,4,0,0,0,25,321.0,0,0,0.0,6.25,1.0
166854,224659569,1,0,0,0,13,183.0,0,0,0.0,13.0,1.0
167099,224827091,55,35,2,0,221,3656.0,38,38,485.0,4.01818181818,1.0
167152,224858362,68,39,0,1,128,9308.0,44,39,621.0,1.88235294118,1.0
167598,225220250,27,4,1,0,55,3874.0,5,5,225.0,2.03703703704,1.0
168003,225508570,14,9,0,0,68,1024.0,9,9,109.0,4.85714285714,1.0
168260,225705348,64,41,7,4,106,2597.0,56,51,1388.0,1.65625,1.0
168321,225752420,64,78,2,0,217,2650.0,81,78,993.0,3.390625,1.0
168983,226251705,38,18,0,0,507,17125.0,18,18,488.0,13.3421052632,1.0
168997,226259825,44,0,0,0,20,6010.0,0,0,0.0,0.454545454545,1.0
169102,226341221,33,0,0,0,7,5439.0,0,0,0.0,0.212121212121,1.0
169187,226407000,76,74,1,0,245,3368.0,81,78,647.0,3.22368421053,1.0
169523,226655537,56,6,4,0,155,2392.0,10,10,135.0,2.76785714286,1.0
170676,227519217,70,7,1,0,42,6630.0,9,9,718.0,0.6,1.0
171378,228044927,44,21,0,0,138,2061.0,21,21,496.0,3.13636363636,1.0
171441,228094718,79,87,1,2,94,3183.0,92,87,3018.0,1.18987341772,1.0
171611,228205135,61,35,1,0,65,1225.0,36,36,686.0,1.06557377049,1.0
171723,228294508,75,32,6,0,58,2022.0,42,39,1291.0,0.773333333333,1.0
171743,228304217,29,6,0,0,113,2670.0,6,6,133.0,3.89655172414,1.0
171927,228458647,69,49,4,1,201,5737.0,57,48,1355.0,2.91304347826,1.0
172140,228598924,68,57,6,0,110,1192.0,69,63,837.0,1.61764705882,1.0
172488,228864501,76,31,3,1,46,2009.0,37,35,1784.0,0.605263157895,1.0
172918,229183972,61,38,2,0,137,4267.0,46,45,967.0,2.24590163934,1.0
