,id,time_on_site,positive_rating,neutral_rating,negative_rating,listing,listing_gmv,sale,buyers,gmv,listing_per_day,clusters
1057852,888268992,33,155,31,19,1659,13546.0,209,204,1626.0,50.2727272727,2.0
1069449,897114751,43,49,6,0,2055,41350.0,61,60,1133.0,47.7906976744,2.0
1070317,897764494,39,108,7,4,191,10972.0,124,79,6254.0,4.89743589744,2.0
1082021,906552972,20,81,11,1,999,9673.0,93,92,916.0,49.95,2.0
1107041,925140679,60,241,2,1,324,8426.0,247,207,6618.0,5.4,2.0
1121789,936083958,54,103,9,0,123,8485.0,114,101,7920.0,2.27777777778,2.0
1139209,949057565,43,72,13,7,715,11739.0,105,103,1189.0,16.6279069767,2.0
1166515,969253641,56,217,6,1,344,10949.0,229,205,7325.0,6.14285714286,2.0
1168698,970858250,80,156,13,3,197,5249.0,192,181,4974.0,2.4625,2.0
1177096,977029373,77,230,25,3,368,6592.0,310,308,5429.0,4.77922077922,2.0
1181617,980471097,31,32,5,6,751,23042.0,48,48,1561.0,24.2258064516,2.0
1195648,990948250,8,3,1,0,681,18981.0,4,4,112.0,85.125,2.0
